,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,O,AS,N1,OB,P5,N1,P4,A4,C4,C2,N1,P5,AS,A4,C2,N1,AS,A3,P4,N1
1,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
2,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
3,A5,O,N1,O,A5,N1,A2,MS,O,C4,N1,P3,C2,MS,CD,N1,P5,A5,AS,N1
4,C2,N1,A5,M1,O,OB,MS,W6,P3,N1,O,C3,A5,A2,N1,C2,A2,O,A5,N1
5,AS,N1,P2,AS,N1,O,W6,CD,AS,N1,O,M1,C2,AS,N1,P2,W6,O,AS,N1
6,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
7,AS,N1,A5,P5,N1,P3,P4,O,A4,N1,OB,A2,N1,A5,N1,C3,P3,P3,A4,N1
8,MS,N1,C3,P5,N1,CD,M1,OB,O,N1,P2,A3,A4,P4,N1,O,O,AS,P5,N1
9,A3,N1,C3,P5,N1,MS,P5,W6,P4,O,A2,P2,O,O,N1,C4,A3,OB,P5,N1
10,CD,A3,N1,C4,C4,N1,O,P4,A3,N1,O,P3,AS,C2,P4,N1,C2,C2,P3,N1
11,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
12,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
13,A4,P2,N1,C3,C3,N1,A4,C4,C3,AS,N1,P2,P4,O,CD,N1,A4,C4,O,N1
14,A2,N1,A2,OB,N1,P5,C3,A4,C3,N1,CD,M1,A2,C2,O,P4,P2,A4,A3,N1
15,MS,N1,P2,MS,N1,AS,OB,M1,MS,N1,P5,P2,M1,MS,N1,O,C4,M1,MS,N1
16,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
17,P5,N1,P5,P4,N1,A5,M1,AS,P4,N1,A2,W6,P2,C3,N1,A5,A5,O,OB,N1
18,C4,N1,A5,AS,N1,AS,MS,A2,C2,N1,MS,P3,P3,A4,N1,P2,C2,MS,O,N1
19,A3,N1,AS,OB,N1,A4,C2,C3,OB,N1,C2,A3,P4,A4,N1,P5,P3,A3,P3,O
20,O,C4,N1,A5,P5,N1,C4,A4,P5,P3,N1,MS,A2,CD,CD,N1,AS,A5,O,N1
21,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
22,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
23,A4,A3,N1,O,P2,N1,P4,A5,CD,A3,N1,P3,O,A4,C4,N1,AS,A5,MS,N1
24,A4,N1,C3,N1,O,A4,A2,AS,A4,N1,C3,C3,P2,CD,N1,C4,N1,AS,P3,N1
25,A3,N1,C3,A3,N1,O,P5,W6,A3,N1,A4,P4,W6,A3,N1,C2,C2,W6,A3,N1
26,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
27,AS,N1,P4,P2,N1,CD,C3,O,OB,N1,P2,A4,M1,P4,N1,P3,O,C3,A2,N1
28,P3,N1,OB,C3,N1,P4,P5,A2,O,N1,O,A2,P4,AS,N1,A5,N1,A5,P5,N1
29,C4,N1,A5,P2,N1,A4,A4,P3,M1,O,C3,O,CD,A5,N1,C3,M1,C3,O,N1
30,MS,A2,N1,P4,P3,N1,MS,O,CD,N1,O,MS,MS,C4,MS,N1,O,C2,P2,N1
31,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
32,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
33,A2,A5,N1,OB,P3,N1,A2,A4,P3,P2,N1,C2,C3,O,CD,N1,C2,P4,P2,N1
34,P3,N1,P4,C2,N1,A2,P3,W6,A4,N1,C3,A4,C3,C2,O,C4,AS,A4,CD,N1
35,A2,N1,A4,A2,N1,O,C3,P2,A2,OB,N1,OB,P5,A2,N1,O,P4,C4,A2,N1
36,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
37,MS,N1,C4,O,N1,AS,P4,OB,A2,N1,P4,N1,C3,A2,N1,C2,W6,O,MS,N1
38,C4,N1,O,P3,N1,A3,C3,P4,MS,N1,O,A5,O,A5,N1,P5,A2,C3,O,N1
39,AS,N1,P2,A2,N1,O,P5,C4,CD,N1,P3,W6,CD,MS,N1,C4,C2,N1,A5,O
40,O,P2,N1,A5,P5,N1,P4,P5,A2,MS,N1,AS,O,P5,C3,N1,A4,A5,A4,N1
41,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
42,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
43,OB,C2,N1,O,P2,N1,C4,P4,P3,C2,N1,C3,P3,MS,O,N1,CD,O,A4,N1
44,A5,N1,P2,AS,O,MS,O,A5,P2,N1,C4,C3,P3,P5,N1,P5,P2,P2,P2,N1
45,A4,N1,P5,A4,N1,O,A2,A4,A4,N1,A3,A2,M1,A4,N1,AS,OB,N1,A4,N1
46,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
47,A3,N1,P5,P4,N1,P3,O,O,A2,N1,AS,N1,C4,C3,N1,MS,OB,AS,P3,N1
48,P4,N1,CD,C2,N1,P2,A4,MS,O,N1,AS,C4,P3,P2,N1,A4,OB,P3,AS,N1
49,O,N1,A4,C2,N1,C3,MS,C3,M1,O,O,P4,C4,A5,N1,C2,AS,OB,OB,N1
50,P2,N1,O,C3,N1,AS,A4,A4,CD,N1,O,A4,C2,A4,N1,A5,A5,A5,CD,N1
51,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
52,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
53,A4,N1,MS,CD,N1,A3,A2,C4,P3,P3,N1,O,A2,O,N1,P4,MS,MS,A3,N1
54,A4,N1,A5,CD,N1,O,O,P5,P5,N1,C4,P5,N1,A4,O,CD,N1,A5,A2,N1
55,A5,N1,A3,A5,N1,OB,P4,N1,A5,N1,P3,A4,N1,A5,N1,O,P5,N1,A5,N1
56,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
57,P2,N1,O,C4,N1,C4,AS,P3,P5,N1,P3,A3,C4,MS,N1,CD,M1,O,A5,N1
58,P4,N1,CD,AS,N1,CD,P2,M1,A3,N1,A3,MS,A4,MS,N1,P5,A5,P4,O,N1
59,A2,N1,P2,A4,N1,P2,A4,C4,OB,N1,A2,N1,A2,AS,N1,C3,P3,N1,C4,O
